myScore,Num. people in role,Num. transfers to role,Num. transfers from role,Total years in role,Mean years in role,Mean % career in role,Role
0.53846153846153844,1,1,1,10.5,10.5,53.846153846153847,Minister/Ambassador to the Netherlands
0.53846153846153844,1,1,1,10.5,10.5,53.846153846153847,Minister Resident/Minister to Peru Ecuador and Bolivia
0.53603994701526281,14,10,9,90.0,6.4285714285714288,48.243595231373654,Consul-General Frankfurt
0.53512394213335768,17,12,9,75.5,4.4411764705882355,40.134295660001825,Minister to Prussia
0.53342245989304815,2,2,1,11.0,5.5,26.671122994652407,Assistant Under-Secretary for the Dominions/Commonwealth Relations
0.5331168831168831,4,4,2,13.0,3.25,26.655844155844154,Director Overseas Territories Foreign and Commonwealth Office
0.53125,1,1,1,8.5,8.5,53.125,Secretary of Legation/Embassy Prussia
0.52955665024630538,2,2,1,5.0,2.5,26.47783251231527,Head of Gibraltar and General Department Foreign and Commonwealth Office
0.52941176470588236,1,1,1,4.5,4.5,52.941176470588239,Counsellor (Commercial) High Commission India
0.52934782608695652,2,2,1,8.0,4.0,26.467391304347824,Counsellor (Information) U.S.A.
0.52789638215820511,27,24,13,124.5,4.6111111111111107,28.594387366902779,Ambassador to Russia
0.52680686277872124,15,16,6,62.5,4.166666666666667,19.755257354202048,Ambassador to China
0.52658881110172373,19,5,7,93.5,4.9210526315789478,73.722433554241334,Consul-General Salonica
0.52636321977433842,6,5,5,44.0,7.333333333333333,52.636321977433845,Senior Clerk German Department Foreign Office
0.52451727642276424,3,3,2,11.5,3.8333333333333335,34.96781842818428,High Commissioner Inter-Allied Rhineland High Commission
0.52443779580376249,21,14,12,104.5,4.9761904761904763,44.951811068893925,Consul-General Dusseldorf
0.52083333333333337,4,2,2,11.0,2.75,52.083333333333336,Ambassador to North Korea
0.52036118479221927,5,7,4,18.5,3.7000000000000002,29.734924845269674,Consul-General Durban
0.52000000000000002,1,1,1,6.5,6.5,52.0,U.K. Representative International Atomic Energy Agency
0.52000000000000002,1,1,1,6.5,6.5,52.0,Minister/Ambassador to Czechoslovakia
0.52000000000000002,1,1,1,6.5,6.5,52.0,Assistant Under-Secretary Department of Industry
0.51987577639751548,3,3,1,7.5,2.5,17.329192546583847,Ambassador to the United Arab Republic
0.51680672268907557,2,2,1,6.0,3.0,25.840336134453779,Head of Guidance and Information Policy Department Foreign and Commonwealth Office
0.515625,1,1,1,16.5,16.5,51.5625,Charge d’Affaires/Minister Resident Ecuador
0.51522331396875887,12,11,7,80.0,6.666666666666667,32.786938161648287,Minister to China
0.51428571428571423,1,2,1,4.5,4.5,25.714285714285712,High Commissioner to Sri Lanka and the Maldives
0.51301264524948742,7,6,4,25.5,3.6428571428571428,34.20084301663249,Director of Research Foreign and Commonwealth Office
0.51151515151515148,2,2,1,7.0,3.5,25.575757575757574,Counsellor (Political) Embassy Italy
0.51111680716943864,5,5,3,20.5,4.0999999999999996,30.667008430166319,Counsellor Embassy Germany
0.51063530734632689,3,3,2,10.5,3.5,34.042353823088462,Commercial Counsellor Thailand
0.51013993316624895,4,4,3,13.0,3.25,38.260494987468675,Counsellor Embassy Kuwait
0.50992063492063489,3,2,1,10.5,3.5,25.496031746031743,Governor-General of Canada
0.50965367965367958,7,8,5,34.5,4.9285714285714288,31.853354978354975,Minister Resident Colombia
0.50918631979120721,19,18,11,75.5,3.9736842105263159,31.116941765018218,Ambassador to Bolivia
0.50701182153676405,10,5,5,32.0,3.2000000000000002,50.701182153676406,Consul-General Seattle
0.50687645687645688,4,5,3,15.0,3.75,30.41258741258741,Director Consular Services Foreign and Commonwealth Office
